frame_index,review_priority,automatic_statuses,subject_id_correct,pose_assignment_correct,anomaly_handling_correct,reviewer_decision,note
34,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
35,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
36,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
37,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
38,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
39,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
40,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
41,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
42,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
43,known_anomaly,ambiguous_pose;matched,yes,no,no,fail,额外ambiguous_pose不对应真人；人物重叠时，P003观察者视角左侧手臂节点错误连接到P001观察者视角左侧手臂，受影响骨架应标记为无效并排除下游使用
44,known_anomaly,ambiguous_pose;matched,yes,no,no,fail,额外ambiguous_pose不对应真人；人物重叠时，P003观察者视角左侧手臂节点错误连接到P001观察者视角左侧手臂，受影响骨架应标记为无效并排除下游使用
45,known_anomaly,ambiguous_pose;matched,yes,no,no,fail,额外ambiguous_pose不对应真人；人物重叠时，P003观察者视角左侧手臂节点错误连接到P001观察者视角左侧手臂，受影响骨架应标记为无效并排除下游使用
46,recovery_check,matched,yes,yes,not_applicable,pass,人物分离后身份关联与骨架恢复正常
47,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
48,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
49,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
50,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
51,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
52,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
53,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
54,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
55,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
56,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
57,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
58,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
59,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
60,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
61,manual_observation,matched,yes,yes,not_applicable,pass,P001身份及骨架归属正确，但观察者视角右侧持杯手臂的关键点未完全贴合真实手臂，属于OpenPose关键点定位误差
62,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
63,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
64,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
65,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
66,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
67,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
68,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
69,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
70,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
71,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
72,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
73,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
74,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
75,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
76,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
77,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
78,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
79,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
80,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
81,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
82,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
83,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
84,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
85,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
86,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
87,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
88,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
89,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
90,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
91,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
92,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
93,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
94,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
95,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
96,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
97,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
98,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
99,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
100,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
101,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
102,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
103,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
104,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
105,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
106,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
107,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
108,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
109,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
110,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
111,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
112,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
113,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
114,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
115,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
116,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
117,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
118,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
119,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
120,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
121,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
122,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
123,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
124,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
125,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
126,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
127,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
128,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
129,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
130,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
131,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
132,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
133,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
134,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
135,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
136,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
137,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
138,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
139,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
140,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
141,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
142,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
143,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
144,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
145,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
146,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
147,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
148,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
149,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
150,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
151,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
152,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
153,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
154,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
155,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
156,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
157,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
158,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
159,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
160,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
161,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
162,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
163,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
164,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
165,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
166,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
167,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
168,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
169,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
170,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
171,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
172,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
173,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
174,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
175,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
176,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
177,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
178,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
179,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
180,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
181,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
182,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
183,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
184,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
185,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
186,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
187,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
188,known_anomaly,matched;phantom_pose,yes,yes,yes,pass,非人物区域产生phantom_pose；该虚假骨架未绑定P001/P002/P003，关联阶段排除处理正确
189,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
190,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
191,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
192,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
193,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
194,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
195,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
196,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
197,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
198,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
199,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
200,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
201,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
202,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
203,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
204,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
205,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
206,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
207,known_anomaly,matched;unmatched_pose,yes,yes,yes,pass,额外骨架不属于三名主要人物，保持unmatched_pose，未错误绑定P001/P002/P003
208,known_anomaly,matched;unmatched_pose,yes,yes,yes,pass,额外骨架不属于三名主要人物，保持unmatched_pose，未错误绑定P001/P002/P003
209,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
210,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
211,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
212,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
213,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
214,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
215,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
216,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
217,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
218,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
219,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
220,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
221,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
222,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
223,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
224,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
225,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
226,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
227,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
228,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
229,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
230,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
231,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
232,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
233,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
234,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
235,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
236,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
237,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
238,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
239,full_video_review,matched,yes,yes,not_applicable,pass,未发现肉眼可见的身份或骨架关联异常
